start,end,avg
2020-01-10 23:21:37,2020-01-10 23:21:37.200000,0.0,g
2020-01-10 23:21:37.200000,2020-01-10 23:21:37.400000,0.062,g
2020-01-10 23:21:37.400000,2020-01-10 23:21:37.600000,0.062,g
2020-01-10 23:21:37.600000,2020-01-10 23:21:37.800000,0.0,g
2020-01-10 23:21:37.800000,2020-01-10 23:21:38,0.0,g
2020-01-10 23:21:38,2020-01-10 23:21:38.200000,0.062,g
2020-01-10 23:21:38.200000,2020-01-10 23:21:38.400000,0.0,g
2020-01-10 23:21:38.400000,2020-01-10 23:21:38.600000,0.0,g
2020-01-10 23:21:38.600000,2020-01-10 23:21:38.800000,0.0,g
2020-01-10 23:21:38.800000,2020-01-10 23:21:39,0.0,g
2020-01-10 23:21:39,2020-01-10 23:21:39.200000,0.062,g
2020-01-10 23:21:39.200000,2020-01-10 23:21:39.400000,0.0,g
2020-01-10 23:21:39.400000,2020-01-10 23:21:39.600000,0.062,g
2020-01-10 23:21:39.600000,2020-01-10 23:21:39.800000,0.0,g
2020-01-10 23:21:39.800000,2020-01-10 23:21:40,0.0,g
2020-01-10 23:21:40,2020-01-10 23:21:40.200000,0.0,g
2020-01-10 23:21:40.200000,2020-01-10 23:21:40.400000,0.0,g
2020-01-10 23:21:40.400000,2020-01-10 23:21:40.600000,0.0,g
2020-01-10 23:21:40.600000,2020-01-10 23:21:40.800000,0.0,g
2020-01-10 23:21:40.800000,2020-01-10 23:21:41,0.062,g
2020-01-10 23:21:41,2020-01-10 23:21:41.200000,0.0,g
2020-01-10 23:21:41.200000,2020-01-10 23:21:41.400000,0.0,g
2020-01-10 23:21:41.400000,2020-01-10 23:21:41.600000,0.0,g
2020-01-10 23:21:41.600000,2020-01-10 23:21:41.800000,0.0,g
2020-01-10 23:21:41.800000,2020-01-10 23:21:42,0.0,g
2020-01-10 23:21:42,2020-01-10 23:21:42.200000,0.0,g
2020-01-10 23:21:42.200000,2020-01-10 23:21:42.400000,0.0,g
2020-01-10 23:21:42.400000,2020-01-10 23:21:42.600000,0.0,g
2020-01-10 23:21:42.600000,2020-01-10 23:21:42.800000,0.0,g
2020-01-10 23:21:42.800000,2020-01-10 23:21:43,0.062,g
2020-01-10 23:21:43,2020-01-10 23:21:43.200000,0.0,g
2020-01-10 23:21:43.200000,2020-01-10 23:21:43.400000,0.0,g
2020-01-10 23:21:43.400000,2020-01-10 23:21:43.600000,0.0,g
2020-01-10 23:21:43.600000,2020-01-10 23:21:43.800000,0.0,g
2020-01-10 23:21:43.800000,2020-01-10 23:21:44,0.0,g
2020-01-10 23:21:44,2020-01-10 23:21:44.200000,0.0,g
2020-01-10 23:21:44.200000,2020-01-10 23:21:44.400000,0.0,g
2020-01-10 23:21:44.400000,2020-01-10 23:21:44.600000,0.0,g
2020-01-10 23:21:44.600000,2020-01-10 23:21:44.800000,0.062,g
2020-01-10 23:21:44.800000,2020-01-10 23:21:45,0.0,g
2020-01-10 23:21:45,2020-01-10 23:21:45.200000,0.0,g
2020-01-10 23:21:45.200000,2020-01-10 23:21:45.400000,0.0,g
2020-01-10 23:21:45.400000,2020-01-10 23:21:45.600000,0.0,g
2020-01-10 23:21:45.600000,2020-01-10 23:21:45.800000,0.0,g
2020-01-10 23:21:45.800000,2020-01-10 23:21:46,0.0,g
2020-01-10 23:21:46,2020-01-10 23:21:46.200000,0.062,g
2020-01-10 23:21:46.200000,2020-01-10 23:21:46.400000,0.0,g
2020-01-10 23:21:46.400000,2020-01-10 23:21:46.600000,0.062,g
2020-01-10 23:21:46.600000,2020-01-10 23:21:46.800000,0.062,g
2020-01-10 23:21:46.800000,2020-01-10 23:21:47,0.125,g
2020-01-10 23:21:47,2020-01-10 23:21:47.200000,0.062,g
2020-01-10 23:21:47.200000,2020-01-10 23:21:47.400000,0.0,g
2020-01-10 23:21:47.400000,2020-01-10 23:21:47.600000,0.0,g
2020-01-10 23:21:47.600000,2020-01-10 23:21:47.800000,0.0,g
2020-01-10 23:21:47.800000,2020-01-10 23:21:48,0.0,g
